Player,Team,NA_GP_Total_NEU,NA_MIN_Total_NEU,ATH_Drives_Total_POS,ATH_Miles_Traveled_Total_POS,DEF_Blocks_Total_POS,REB_Opp_2nd_Chance_PTS_Total_NEG,DEF_Opp_Above_the_Break_3_FG_Made_Total_NEG,DEF_Opp_Above_the_Break_3_FG_Missed_Total_POS,DEF_Opp_Corner_3_FG_Made_Total_NEG,DEF_Opp_Corner_3_FG_Missed_Total_POS,DEF_Opp_FBPs_Total_NEG,DEF_Opp_In_The_Paint_Non-RA_FG_Made_Total_NEG,DEF_Opp_In_The_Paint_Non-RA_FG_Missed_Total_POS,DEF_Opp_Mid-Range_FG_Made_Total_NEG,DEF_Opp_Mid-Range_FG_Missed_Total_POS,DEF_Opp_Restricted_Area_FG_Made_Total_NEG,DEF_Opp_Restricted_Area_FG_Missed_Total_POS,DEF_Personal_Fouls_Drawn_Total_POS,DEF_Personal_Fouls_Total_NEG,DEF_Points_Off_Turnovers_Total_POS,DEF_Steals_Total_POS,POS_Assists_Total_POS,POS_Close_Touches_Total_POS,POS_Elbow_Touches_Total_POS,POS_Front_Court_Touches_Total_POS,POS_FT_Assists_Total_POS,POS_Opp_PTS_Off_TO_Total_NEG,POS_Passes_Total_POS,POS_Secondary_Assists_Total_POS,POS_Touches_Total_POS,POS_Turnovers_Total_NEG,REB_Contested_Rebounds_Total_POS,REB_Defensive_Rebounds_Total_POS,REB_Offensive_Rebounds_Total_POS,REB_Rebound_Opps_Missed_Total_NEG,REB_Uncontested_Rebounds_Total_POS,SHT_Points_Total_POS,SHT_Above_the_Break_3_FG_Made_Total_POS,SHT_Above_the_Break_3_FG_Missed_Total_NEG,SHT_Corner_3_FG_Made_Total_POS,SHT_Corner_3_FG_Missed_Total_NEG,SHT_FG_Made_Total_POS,SHT_FG_Missed_Total_NEG,SHT_FT_Made_Total_POS,SHT_FT_Missed_Total_NEG,SHT_In_The_Paint_Non-RA_FG_Made_Total_POS,SHT_In_The_Paint_Non-RA_FG_Missed_Total_NEG,SHT_Mid-Range_FG_Made_Total_POS,SHT_Mid-Range_FG_Missed_Total_NEG,SHT_Restricted_Area_FG_Made_Total_POS,SHT_Restricted_Area_FG_Missed_Total_NEG,SHT_Shots_Blocked_Total_NEG,SHT_Above_the_Break_3_FG_Points_Total_POS,SHT_Corner_3_FG_Points_Total_POS,SHT_FT_Points_Total_POS,SHT_In_The_Paint_Non-RA_FG_Points_Total_POS,SHT_Mid-Range_FG_Points_Total_POS,SHT_Restricted_Area_FG_Points_Total_POS
A.J. Price,MIN,13,49,2,4,0,13,9,16,1,4,18,4,10,11,19,9,9,0,3,3,0,9,1,8,99,3,9,101,1,126,4,0,5,0,5,5,12,1,6,1,0,5,9,0,0,0,0,2,3,1,0,0,3,3,0,0,4,2
Aaron Brooks,HOU,29,499,117,36,4,139,62,99,23,40,142,49,80,83,166,184,85,35,52,38,21,62,3,17,832,9,194,676,20,956,35,9,28,17,30,35,221,28,42,7,9,80,115,26,4,17,28,4,11,24,25,12,84,21,26,34,8,48
Aaron Gray,SAC,9,61,0,4,1,5,9,13,3,0,25,7,9,12,22,19,6,4,18,2,0,3,5,7,48,0,21,70,0,94,10,11,11,12,13,10,14,0,1,0,0,6,7,2,2,2,3,0,0,4,3,3,0,0,2,4,0,8
Al Harrington,WAS,7,129,10,9,0,47,16,35,7,13,45,18,17,22,26,50,18,12,16,15,4,7,2,8,129,0,57,161,3,228,9,1,10,0,17,9,55,9,13,3,3,19,33,5,2,0,3,1,9,6,5,4,27,9,5,0,2,12
Al Horford,ATL,29,957,20,64,44,255,95,200,44,74,194,96,100,196,306,328,218,67,56,84,27,76,160,223,1189,9,296,1285,26,1841,64,87,178,66,116,154,538,0,0,4,7,238,182,58,27,36,44,88,95,110,36,15,0,12,58,72,176,220
Al Jefferson,CHA,25,810,2,51,33,208,100,186,43,55,145,71,118,152,239,241,167,65,65,45,23,45,195,125,790,3,205,700,10,1200,27,85,186,67,157,168,425,1,2,0,0,185,223,54,29,51,58,52,106,81,57,28,3,0,54,102,104,162
Al-Farouq Aminu,NOP,29,723,34,53,17,194,82,163,29,47,183,77,99,131,190,272,138,46,46,41,38,44,29,44,638,9,209,682,12,931,28,67,140,57,119,128,211,1,5,3,6,91,92,25,21,7,14,19,30,61,37,15,3,9,25,14,38,122
Alan Anderson,BKN,32,805,81,54,4,240,96,163,45,68,214,79,114,135,184,260,204,58,60,38,30,34,13,38,710,6,269,659,10,940,17,29,68,19,79,58,271,28,40,13,30,95,131,40,11,5,11,18,31,31,19,13,84,39,40,10,36,62
Alec Burks,UTA,35,949,171,67,9,238,89,177,44,60,294,104,142,144,238,329,208,119,80,63,28,94,21,95,1621,11,340,1295,21,1833,60,25,77,31,106,81,436,15,23,6,10,159,209,97,31,19,42,33,71,86,57,28,45,18,97,38,66,172
Alex Len,PHX,4,31,0,2,2,4,2,7,1,2,9,6,7,9,7,4,2,1,8,1,2,1,3,7,25,0,15,42,0,53,3,6,2,5,8,1,7,0,0,0,0,3,4,1,1,1,0,0,3,2,1,0,0,0,1,2,0,4
