Player,Team,Position,Hollinger_MPG,Hollinger_PF,Hollinger_PFPG,Hollinger_PFP48M,PF_per_MIN,Hollinger_FLAG,Hollinger_TECH,Hollinger_EJECT,GP,MIN_per_game,Total_MIN,STL_per_game,Total_STL,STL_per_MIN,BLK_per_game,Total_BLK,BLK_per_MIN,Opp_FGM_at_Rim_per_game,Total_Opp_FGM_at_Rim,Opp_FGM_at_Rim_per_min,Opp_FGA_at_Rim_per_game,Total_Opp_FGA_at_Rim,Opp_FGA_at_Rim_per_Minute,Opp_FGP_at_Rim,Catch_and_Shoot_Total_PTS,Catch_and_Shoot_PTS_per_game,Catch_and_Shoot_PTS_per_Minute,Catch_and_Shoot_FGM_per_game,Total_Catch_and_Shoot_FGM,Catch_and_Shoot_FGM_per_Minute,Catch_and_Shoot_FGA_per_game,Total_Catch_and_Shoot_FGA,Catch_and_Shoot_FGA_per_Minute,Catch_and_Shoot_FG_PCT,Catch_and_Shoot_3FGM_per_game,Total_Catch_and_Shoot_3FGM,Catch_and_Shoot_3FGM_per_Minute,Catch_and_Shoot_3FGA_per_game,Total_Catch_and_Shoot_3FGA,Catch_and_Shoot_3FGA_per_Minute,Catch_and_Shoot_3FG_PCT,Catch_and_Shoot_eFG_PCT,REB_per_game,Total_REB,REB_per_Minute,Percentage_of_rebounds_per_chance,REB_Chances_per_game,Total_REB_Chances,REB_Chances_per_Minute,Contested_REB_per_game,Total_Contested_REB,Contested_REB_per_Minute,Uncontested_REB_per_game,Total_Uncontested_REB,Uncontested_REB_per_Minute,Contested_REB_Percentage,Distance_Traveled_Per_Game_miles,Distance_Traveled_total_miles,Distance_Traveled_per_Minute,Average_Speed_mph,Distance_Traveled_Per_48_Minutes_miles,Pull_Up_Shots_Total_PTS,Pull_Up_Shots_PTS_per_game,Pull_Up_Shots_PTS_per_Minute,Pull_Up_Shots_FGM_per_game,Total_Pull_Up_Shots_FGM,Pull_Up_Shots_FGM_per_Minute,Pull_Up_Shots_FGA_per_game,Total_Pull_Up_Shots_FGA,Pull_Up_Shots_FGA_per_Minute,Pull_Up_Shots_FG_PCT,Pull_Up_Shots_FG3M_per_game,Total_Pull_Up_Shots_FG3M,Pull_Up_Shots_FG3M_per_Minute,Pull_Up_Shots_FG3A_per_game,Total_Pull_Up_Shots_FG3A,Pull_Up_Shots_FG3A_per_Minute,Pull_Up_Shots_FG3_PCT,Pull_Up_Shots_EFG_PCT,PTS_per_game,Total_PTS,PTS_per_Minute,Drives_PTS_per_game,Total_Drives_PTS,Drives_PTS_per_Minute,Drives_FG_PCT,Close_Shots_PTS_per_game,Total_Close_Shots_PTS,Close_Shots_PTS_per_Minute,Close_Shots_FG_PCT,Catch_and_Shoot_PTS_per_game,Total_Catch_and_Shoot_PTS,Catch_and_Shoot_PTS_per_Minute,Catch_and_Shoot_FG_PCT,Pull_Up_Shots_PTS_per_game,Total_Pull_Up_Shots_PTS,Pull_Up_Shots_PTS_per_Minute,Pull_Up_Shots_FG_PCT,eFG_PCT,FG_PCT_on_Drives,Drives_Per_Game,Total_Drives,Drives_per_Minute,Player_PPG_on_Drives,Total_Player_PTS_on_Drives,Player_PTS_on_Drives_per_Minute,Team_PPG_on_Drives,Total_Team_Points_on_Drives,Team_Points_on_Drives_per_Minute,PTS_Per_48_Min_on_Drives,AST_per_game,Total_AST,AST_per_Minute,Passes_per_game,Total_Passes,Passes_per_Minute,FT_Assists_per_game,Total_FT_Assists,FT_Assists_per_Minute,Secondary_Assists_per_game,Total_Secondary_Assists,Secondary_Assists_per_Minute,Assist_opportunities_per_game,Total_Assist_opportunities,Assist_opportunities_per_Minute,Points_created_by_assist_per_game,Total_Points_created_by_assist,Points_created_by_assist_per_Minute,Points_Created_by_AST_Per_48_Min,Touches_per_game,Total_Touches,Touches_per_Minute,Front_Court_Touches_per_game,Total_Front_Court_Touches,Front_Court_Touches_per_Minute,Time_of_Possession_per_game__min,Total_Time_of_Possession,Close_Touches_per_game,Total_Close_Touches,Close_Touches_per_Minute,Elbow_Touches_per_game,Total_Elbow_Touches,Elbow_Touches_per_Minute,PTS_Per_Touch,PTS_Per_Half_Court_Touch
A.J. Price,MIN,PG,4.9,3,0.3,3.3,0.1,0,0,0,9,4.9,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,3.00,0.30,,0.10,0.9,0.0204081633,0.70,6.3,0.1428571429,0.17,0.1,0.9,0.0204081633,0.6,5.4,0.1224489796,0.2,0.25,0.6,5,0.1133786848,0.5,1.1,9.9,0.2244897959,0,0,0,0.6,5.4,0.1224489796,0,0.3,3,0.0680272109,4.1,3.3,9,1,0.022675737,0.4,3.6,0.0816326531,1.1,9.9,0.2244897959,0.4,0.1,0.9,0.0204081633,0.3,2.7,0.0612244898,0.333,0.45,1.3,11.7,0.2653061224,0,0,0,0,0.2,1.8,0.0408163265,1,0.3,2.7,0.0612244898,0.167,1,9,0.2040816327,0.4,0.429,0,0.1,1,0.022675737,0,0,0,0,0,0,0,0.6,5,0.1133786848,9.4,84.6,1.9183673469,0.3,2.7,0.0612244898,0.1,0.9,0.0204081633,1.1,9.9,0.2244897959,1.6,14.4,0.3265306122,15.2,11.9,107,2.4263038549,9.6,86.4,1.9591836735,0.8,7.2,0.1,0.9,0.0204081633,0.9,8.1,0.1836734694,0.11,0.14
Aaron Brooks,HOU,PG,15.9,33,1.6,4.8,0.1,0,0,0,21,16,336,0.9,18.9,0.05625,0.1,2,0.005952381,0.6,12.6,0.0375,1.1,23.1,0.06875,0.52,48.00,2.30,,0.80,16.8,0.05,1.60,33.6,0.1,0.47,0.8,16.8,0.05,1.6,33.6,0.1,0.471,0.706,1.5,32,0.0952380952,0.667,2.3,48.3,0.14375,0.2,4.2,0.0125,1.3,27.3,0.08125,0.156,1.1,23.9,0.0711309524,4.3,3.4,43,2,0.005952381,0.9,18.9,0.05625,2.5,52.5,0.15625,0.34,0.3,6.3,0.01875,0.9,18.9,0.05625,0.389,0.406,7.1,149.1,0.44375,2.3,48.3,0.14375,0.457,0.1,2.1,0.00625,1,2.3,48.3,0.14375,0.471,2,42,0.125,0.34,0.524,0.457,3.6,75,0.2232142857,2.3,49,0.1458333333,4.2,88.2,0.2625,7,2,41,0.1220238095,21.9,459.9,1.36875,0.4,8.4,0.025,0.6,12.6,0.0375,4,84,0.25,5,105,0.3125,14.9,30.8,647,1.9255952381,26.7,560.7,1.66875,2.1,44.1,0.1,2.1,0.00625,0.6,12.6,0.0375,0.23,0.27
Aaron Gray,SAC,C,9.5,5,2.5,12.6,0.3,0,0,0,2,9.6,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,4.5,9,0.46875,1,4.5,9,0.46875,3,6,0.3125,1.5,3,0.15625,0.667,0.6,1.3,0.0677083333,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,0.3645833333,0,0,0,0,1,2,0.1041666667,0.333,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,21,1.09375,0,0,0,0,0,0,0.5,1,0.0520833333,0,0,0,0,12.6,63,3.28125,6,12,0.625,0.3,0.6,0.8,1.6,0.0833333333,0.8,1.6,0.0833333333,0.13,0.27
Aaron Gray,TOR,C,6.3,7.0,2.3,17.7,0.4,0,0,0,3,4.6,13.8,0,0,0,0,0,0,0.3,0.9,0.0652173913,0.3,0.9,0.0652173913,1.00,0.00,0.00,,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,2,6,0.4347826087,0.667,3,9,0.652173913,1,3,0.2173913043,1,3,0.2173913043,0.5,0.3,1,0.0724637681,4.2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,0.0652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2,0.1449275362,8,24,1.7391304348,0,0,0,0,0,0,1.3,3.9,0.2826086957,1.7,5.1,0.3695652174,17.3,15,30,2.1739130435,7,21,1.5217391304,0.3,0.9,1.5,4.5,0.3260869565,0.5,1.5,0.1086956522,0.23,0.5
Aaron Gray,TOTAL,C,6.5,12,2.0,14.8,0.3,0,0,0,5,6.6,33,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,0.00,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,3,15,0.4545454545,0.833,3.6,18,0.5454545455,1.8,9,0.2727272727,1.2,6,0.1818181818,0.6,0.4,2.2,0.0666666667,4,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,8,0.2424242424,0,0,0,0,0.4,2,0.0606060606,0.25,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0.4,2,0.0606060606,9,45,1.3636363636,0,0,0,0,0,0,1,5,0.1515151515,1,5,0.1515151515,7.3,11,33,1,5.3,26.5,0.803030303,0.2,1,0.3,1.5,0.0454545455,1,5,0.1515151515,0.03,0.06
Al Harrington,WAS,PF,18.6,16,2.3,5.9,0.1,0,0,0,7,18.7,130.9,0.6,4.2,0.0320855615,0,0,0,1.1,7.7,0.0588235294,1.9,13.3,0.1016042781,0.62,38.00,5.40,,1.90,13.3,0.1016042781,4.10,28.7,0.2192513369,0.45,1.7,11.9,0.0909090909,3.9,27.3,0.2085561497,0.444,0.655,1.4,10,0.076394194,0.37,3.9,27.3,0.2085561497,0.1,0.7,0.0053475936,1.3,9.1,0.0695187166,0.1,1.3,9,0.0687547746,4.1,3.3,0,0,0,0,0,0,1.1,7.7,0.0588235294,0,0,0,0,0,0,0,0,0,7.9,55.3,0.422459893,1.9,13.3,0.1016042781,0.571,0,0,0,0,5.4,37.8,0.2887700535,0.448,0,0,0,0,0.481,0.571,1.4,10,0.076394194,1.9,13,0.0993124523,1.9,13.3,0.1016042781,4.8,1,7,0.0534759358,23,161,1.2299465241,0,0,0,0.4,2.8,0.0213903743,1.7,11.9,0.0909090909,2.3,16.1,0.1229946524,5.9,32.6,228,1.7417876241,18.4,128.8,0.9839572193,0.6,4.2,0.3,2.1,0.0160427807,1.1,7.7,0.0588235294,0.24,0.43
Al Horford,ATL,C,33,49,1.9,2.7,0.1,0,1,0,26,33.1,860.6,1,26,0.0302114804,1.6,41,0.0476411806,3.1,80.6,0.0936555891,6.6,171.6,0.1993957704,0.47,132.00,5.10,,2.50,65,0.0755287009,5.10,132.6,0.1540785498,0.49,0.1,2.6,0.003021148,0.3,7.8,0.0090634441,0.286,0.496,8.5,221,0.2567975831,0.675,12.5,325,0.3776435045,3.1,80.6,0.0936555891,5.4,140.4,0.163141994,0.364,2.2,57.3,0.0665814548,4,3.2,4,0.2,0.000232396,0.1,2.6,0.003021148,0.8,20.8,0.0241691843,0.095,0,0,0,0.1,2.6,0.003021148,0,0.095,18,468,0.5438066465,0.6,15.6,0.0181268882,0.636,4.7,122.2,0.1419939577,0.645,5.1,132.6,0.1540785498,0.489,0.2,5.2,0.0060422961,0.095,0.557,0.636,0.7,17,0.0197536602,0.6,16,0.0185916802,0.7,18.2,0.0211480363,0.9,2.6,68,0.0790146409,44.2,1149.2,1.335347432,0.2,5.2,0.0060422961,1,26,0.0302114804,5.8,150.8,0.1752265861,6.3,163.8,0.1903323263,9.1,63.3,1647,1.913781083,41.2,1071.2,1.2447129909,1.5,39,5.5,143,0.166163142,7.7,200.2,0.2326283988,0.28,0.44
Al Jefferson,CHA,C,31.7,49,2.9,4.4,0.1,0,0,0,17,31.8,540.6,0.9,15.3,0.0283018868,1.4,24,0.0443951165,4.1,69.7,0.1289308176,6.8,115.6,0.213836478,0.61,58.00,3.40,,1.70,28.9,0.0534591195,4.10,69.7,0.1289308176,0.42,0,0,0,0,0,0,0,0.42,9.3,158,0.2922678505,0.608,15.3,260.1,0.4811320755,3.4,57.8,0.106918239,5.9,100.3,0.1855345912,0.367,2,33.6,0.0621531632,3.7,3,14,0.8,0.0014798372,0.4,6.8,0.0125786164,1.3,22.1,0.0408805031,0.318,0,0,0,0,0,0,0,0.318,15.6,265.2,0.4905660377,0,0,0,0,4.5,76.5,0.141509434,0.477,3.4,57.8,0.106918239,0.42,0.8,13.6,0.0251572327,0.318,0.443,0,0,0,0,0,0,0,0,0,0,0,1.9,33,0.0610432852,26.5,450.5,0.8333333333,0.1,1.7,0.0031446541,0.4,6.8,0.0125786164,3.5,59.5,0.1100628931,4.1,69.7,0.1289308176,6.2,44.8,762,1.4095449501,30.4,516.8,0.9559748428,1.4,23.8,7.1,120.7,0.2232704403,5.4,91.8,0.1698113208,0.35,0.51
Al-Farouq Aminu,NOP,SF,24.5,37,1.6,3.2,0.1,0,0,0,23,24.5,563.5,1.2,27.6,0.0489795918,0.6,14,0.0248447205,1.6,36.8,0.0653061224,3.3,75.9,0.1346938776,0.49,23.00,1.00,,0.50,11.5,0.0204081633,1.60,36.8,0.0653061224,0.30,0,0,0,0.3,6.9,0.012244898,0.167,0.311,6.7,155,0.2750665484,0.621,10.8,248.4,0.4408163265,2.4,55.2,0.0979591837,4.3,98.9,0.1755102041,0.364,1.8,41.3,0.0732919255,4.4,3.5,6,0.3,0.0005323869,0.1,2.3,0.0040816327,0.5,11.5,0.0204081633,0.25,0,0,0,0,0,0,0,0.25,6.8,156.4,0.2775510204,0.6,13.8,0.0244897959,0.444,0.8,18.4,0.0326530612,0.529,1,23,0.0408163265,0.297,0.3,6.9,0.012244898,0.25,0.479,0.444,1,23,0.0408163265,0.6,14,0.0248447205,1.1,25.3,0.0448979592,1.2,1.5,35,0.0621118012,23.5,540.5,0.9591836735,0.3,6.9,0.012244898,0.4,9.2,0.0163265306,2.9,66.7,0.1183673469,3.5,80.5,0.1428571429,6.8,32,735,1.3043478261,21.7,499.1,0.8857142857,0.7,16.1,1.2,27.6,0.0489795918,1.2,27.6,0.0489795918,0.21,0.32
Alan Anderson,BKN,SG,25.4,51,2.0,3.9,0.1,0,1,0,25,25.5,637.5,0.9,22.5,0.0352941176,0.1,3,0.0047058824,0.7,17.5,0.0274509804,1.6,40,0.062745098,0.46,91.00,3.60,,1.20,30,0.0470588235,3.10,77.5,0.1215686275,0.40,1.2,30,0.0470588235,3,75,0.1176470588,0.392,0.583,2.7,67,0.1050980392,0.536,5,125,0.1960784314,0.8,20,0.031372549,1.8,45,0.0705882353,0.313,1.7,42.6,0.0668235294,4,3.2,31,1.2,0.0018823529,0.6,15,0.0235294118,2.1,52.5,0.0823529412,0.264,0.1,2.5,0.0039215686,0.4,10,0.0156862745,0.273,0.292,8,200,0.3137254902,1.6,40,0.062745098,0.567,0.4,10,0.0156862745,1,3.6,90,0.1411764706,0.397,1.2,30,0.0470588235,0.264,0.509,0.567,2.3,58,0.0909803922,1.6,39,0.0611764706,2.6,65,0.1019607843,2.9,1.2,29,0.0454901961,21.7,542.5,0.8509803922,0.2,5,0.0078431373,0,0,0,2.4,60,0.0941176471,2.8,70,0.1098039216,5.3,30.3,757,1.1874509804,23.2,580,0.9098039216,1.1,27.5,0.4,10,0.0156862745,1.2,30,0.0470588235,0.26,0.34
